frame,x1,y1,x2,y2
frame_0000.jpg,1606,1856,1782,2173
frame_0001.jpg,1608,1856,1787,2171
frame_0002.jpg,1623,1856,1791,2172
frame_0003.jpg,1626,1859,1793,2175
frame_0004.jpg,1621,1858,1795,2172
frame_0005.jpg,1627,1856,1799,2171
frame_0006.jpg,1625,1856,1799,2170
frame_0007.jpg,1625,1849,1799,2170
frame_0008.jpg,1627,1844,1799,2169
frame_0009.jpg,1630,1836,1801,2169
frame_0010.jpg,1625,1830,1799,2164
frame_0011.jpg,1624,1827,1798,2167
frame_0012.jpg,1607,1816,1801,2172
frame_0013.jpg,1588,1803,1801,2171
frame_0014.jpg,1577,1803,1799,2168
frame_0015.jpg,1560,1783,1798,2167
frame_0016.jpg,1545,1783,1810,2169
frame_0017.jpg,1551,1799,1829,2173
frame_0018.jpg,1528,1802,1842,2197
frame_0019.jpg,1525,1800,1854,2195
frame_0020.jpg,1519,1802,1870,2213
frame_0021.jpg,1520,1800,1872,2213
frame_0022.jpg,1517,1804,1877,2222
frame_0023.jpg,1524,1801,1880,2221
frame_0024.jpg,1547,1805,1880,2212
frame_0025.jpg,1548,1801,1881,2217
frame_0026.jpg,1557,1800,1882,2215
frame_0027.jpg,1565,1803,1881,2211
frame_0028.jpg,1559,1797,1881,2207
frame_0029.jpg,1563,1799,1866,2216
frame_0030.jpg,1563,1793,1855,2234
frame_0031.jpg,1574,1795,1846,2236
frame_0032.jpg,1578,1793,1838,2242
frame_0033.jpg,1587,1795,1827,2251
frame_0034.jpg,1600,1792,1820,2235
frame_0035.jpg,1625,1801,1803,2234
frame_0036.jpg,1547,1797,1800,2291
frame_0037.jpg,1566,1796,1798,2287
frame_0038.jpg,1572,1801,1797,2284
frame_0039.jpg,1668,1804,1799,2176
frame_0039.jpg,1569,1801,1800,2278
frame_0040.jpg,1667,1809,1800,2176
frame_0041.jpg,1669,1820,1796,2184
frame_0042.jpg,1576,1829,1800,2281
frame_0042.jpg,1672,1833,1798,2163
frame_0043.jpg,1581,1826,1801,2280
frame_0043.jpg,1672,1826,1798,2165
frame_0044.jpg,1580,1831,1804,2280
frame_0045.jpg,1577,1822,1812,2281
frame_0045.jpg,1672,1825,1811,2169
frame_0046.jpg,1667,1813,1821,2163
frame_0047.jpg,1662,1805,1832,2160
frame_0048.jpg,1653,1788,1841,2160
frame_0049.jpg,1623,1779,1851,2166
frame_0050.jpg,1595,1783,1866,2169
frame_0051.jpg,1588,1778,1872,2175
frame_0052.jpg,1574,1776,1886,2179
frame_0053.jpg,1575,1786,1891,2166
frame_0054.jpg,1576,1797,1896,2165
frame_0055.jpg,1575,1803,1906,2164
frame_0056.jpg,1581,1817,1904,2161
frame_0057.jpg,1582,1818,1909,2162
frame_0058.jpg,1593,1812,1927,2163
frame_0059.jpg,1599,1806,1937,2158
frame_0060.jpg,1598,1798,1944,2158
frame_0061.jpg,1612,1793,1949,2161
frame_0062.jpg,1628,1792,1940,2154
frame_0063.jpg,1638,1793,1928,2141
frame_0064.jpg,1657,1770,1933,2132
frame_0065.jpg,1669,1773,1909,2147
frame_0066.jpg,1696,1766,1897,2141
frame_0067.jpg,1715,1766,1889,2130
frame_0068.jpg,1738,1761,1885,2131
frame_0069.jpg,1739,1774,1880,2137
frame_0070.jpg,1745,1768,1880,2131
frame_0071.jpg,1756,1775,1876,2130
frame_0072.jpg,1756,1777,1882,2140
frame_0073.jpg,1763,1773,1889,2141
frame_0074.jpg,1764,1769,1900,2146
frame_0075.jpg,1764,1758,1907,2145
frame_0076.jpg,1768,1773,1917,2146
frame_0077.jpg,1744,1762,1925,2148
frame_0078.jpg,1725,1752,1937,2155
frame_0079.jpg,1693,1750,1946,2152
frame_0080.jpg,1683,1724,1953,2147
frame_0081.jpg,1680,1800,1961,2150
frame_0082.jpg,1671,1754,1968,2152
frame_0083.jpg,1685,1780,1981,2149
frame_0084.jpg,1716,1810,1976,2150
frame_0085.jpg,1718,1815,1977,2150
frame_0086.jpg,1730,1825,1980,2151
frame_0087.jpg,1769,1827,1969,2148
frame_0088.jpg,1787,1831,1975,2148
frame_0089.jpg,1814,1831,1981,2146
frame_0089.jpg,0,2291,319,2705
frame_0090.jpg,1821,1831,1998,2144
frame_0091.jpg,1829,1829,1983,2141
frame_0092.jpg,1836,1832,1979,2138
frame_0092.jpg,0,2295,317,2700
frame_0093.jpg,1847,1831,1976,2138
frame_0094.jpg,1865,1834,1975,2128
frame_0095.jpg,1871,1836,1973,2121
frame_0096.jpg,1879,1837,1980,2129
frame_0097.jpg,1887,1835,1987,2132
frame_0098.jpg,1893,1831,1999,2139
frame_0099.jpg,1899,1828,2011,2136
frame_0100.jpg,1904,1827,2030,2132
frame_0101.jpg,1908,1827,2052,2133
frame_0102.jpg,1912,1827,2068,2132
frame_0103.jpg,1921,1827,2070,2127
frame_0104.jpg,1922,1830,2072,2122
frame_0105.jpg,1924,1829,2084,2124
frame_0106.jpg,1926,1824,2095,2123
frame_0107.jpg,1926,1810,2101,2130
frame_0108.jpg,1927,1816,2098,2139
frame_0109.jpg,1930,1809,2087,2140
frame_0110.jpg,1945,1809,2100,2137
frame_0111.jpg,1964,1804,2107,2124
frame_0112.jpg,1992,1799,2106,2110
frame_0112.jpg,1,2285,317,2704
frame_0113.jpg,2005,1797,2132,2110
frame_0114.jpg,2013,1797,2121,2095
frame_0115.jpg,2012,1792,2160,2065
frame_0115.jpg,1,2290,317,2706
frame_0116.jpg,2019,1790,2159,2074
frame_0117.jpg,2028,1792,2153,2082
frame_0117.jpg,1,2289,318,2706
frame_0118.jpg,2038,1789,2168,2084
frame_0118.jpg,1,2291,319,2706
frame_0119.jpg,2046,1789,2173,2079
frame_0119.jpg,1,2290,318,2705
frame_0120.jpg,2075,1793,2228,2045
frame_0120.jpg,1,2291,319,2699
frame_0121.jpg,1993,1797,2230,2253
frame_0121.jpg,2077,1798,2228,2045
frame_0122.jpg,2097,1796,2230,2031
frame_0122.jpg,1990,1795,2234,2261
frame_0122.jpg,1,2290,319,2704
frame_0123.jpg,2106,1795,2236,2035
frame_0123.jpg,1,2287,318,2708
frame_0124.jpg,2118,1796,2236,2031
frame_0125.jpg,2129,1796,2237,2028
frame_0126.jpg,2148,1794,2250,2029
frame_0127.jpg,2156,1797,2254,2028
frame_0128.jpg,2166,1796,2284,2031
frame_0129.jpg,2174,1791,2289,2030
frame_0130.jpg,2178,1784,2295,2027
frame_0130.jpg,1,2288,319,2705
frame_0131.jpg,2185,1787,2298,2026
frame_0131.jpg,1,2284,319,2703
frame_0132.jpg,2199,1785,2301,2033
frame_0133.jpg,2206,1785,2312,2035
frame_0134.jpg,2212,1781,2316,2034
frame_0135.jpg,2222,1776,2310,1998
frame_0136.jpg,2230,1776,2319,1931
frame_0136.jpg,1,2287,318,2709
frame_0137.jpg,2237,1775,2335,1929
frame_0138.jpg,2252,1780,2342,1930
frame_0139.jpg,2272,1774,2351,1928
frame_0140.jpg,2279,1768,2359,1929
frame_0141.jpg,2287,1771,2371,1929
frame_0142.jpg,2290,1771,2374,1928
frame_0143.jpg,2295,1769,2383,1928
frame_0144.jpg,2306,1767,2394,1928
frame_0145.jpg,2317,1764,2409,1930
frame_0146.jpg,2320,1766,2414,1927
frame_0147.jpg,2330,1766,2431,1932
frame_0148.jpg,2341,1767,2432,1932
frame_0149.jpg,2347,1768,2473,1932
frame_0150.jpg,2353,1766,2500,1933
frame_0151.jpg,2360,1771,2497,1934
frame_0152.jpg,2368,1777,2475,1931
frame_0153.jpg,2383,1782,2522,1938
frame_0154.jpg,2390,1788,2549,1941
frame_0155.jpg,2401,1793,2543,1941
frame_0156.jpg,2414,1792,2524,1939
frame_0157.jpg,2422,1795,2522,1941
frame_0160.jpg,2445,1802,2546,1939
frame_0161.jpg,2459,1802,2561,1943
frame_0162.jpg,2461,1803,2571,1945
frame_0163.jpg,2465,1808,2571,1950
frame_0164.jpg,2476,1809,2565,1947
frame_0165.jpg,2483,1810,2582,1951
frame_0166.jpg,2499,1812,2581,1953
frame_0168.jpg,2514,1818,2602,1952
frame_0169.jpg,2522,1820,2620,1955
frame_0170.jpg,2533,1822,2629,1960
frame_0171.jpg,2547,1819,2642,1963
frame_0172.jpg,2554,1825,2655,1962
frame_0173.jpg,2565,1823,2657,1966
frame_0174.jpg,2570,1825,2659,1971
frame_0175.jpg,2576,1825,2663,1968
frame_0176.jpg,2585,1831,2677,1967
frame_0177.jpg,2590,1833,2688,1970
frame_0179.jpg,2598,1842,2710,1964
frame_0180.jpg,2613,1839,2728,1961
frame_0181.jpg,0,2289,323,2717
frame_0181.jpg,2626,1844,2723,1965
frame_0182.jpg,0,2288,323,2715
frame_0182.jpg,2632,1846,2727,1968
frame_0183.jpg,0,2286,325,2716
frame_0184.jpg,0,2289,324,2712
frame_0210.jpg,0,2294,315,2715
frame_0242.jpg,0,2288,313,2719
frame_0296.jpg,3146,1882,3279,2057
frame_0298.jpg,3176,1893,3316,2054
frame_0298.jpg,3753,1135,3826,1322
frame_0299.jpg,3192,1902,3296,2060
frame_0300.jpg,3201,1905,3344,2063
frame_0300.jpg,3754,1135,3826,1321
frame_0301.jpg,3754,1135,3825,1321
frame_0302.jpg,3754,1135,3825,1320
frame_0303.jpg,3753,1134,3825,1320
frame_0304.jpg,3753,1136,3825,1318
frame_0310.jpg,3755,1136,3826,1317
frame_0318.jpg,3381,1928,3487,2091
frame_0320.jpg,3405,1925,3506,2105
frame_0321.jpg,3417,1923,3526,2118
frame_0322.jpg,3427,1926,3547,2113
frame_0323.jpg,3438,1924,3586,2119
frame_0324.jpg,3443,1922,3618,2115
frame_0325.jpg,3450,1922,3644,2121
frame_0326.jpg,3466,1919,3641,2276
frame_0327.jpg,3473,1923,3680,2282
frame_0328.jpg,3483,1932,3712,2286
frame_0329.jpg,3492,1934,3706,2290
frame_0330.jpg,3498,1934,3701,2288
frame_0331.jpg,3514,1943,3702,2291
frame_0332.jpg,3523,1932,3690,2293
frame_0333.jpg,3522,1938,3674,2297
frame_0334.jpg,3519,1934,3684,2310
frame_0335.jpg,3526,1932,3686,2305
frame_0336.jpg,3532,1928,3702,2292
frame_0337.jpg,3524,1901,3709,2292
frame_0338.jpg,3531,1907,3727,2295
frame_0339.jpg,3540,1893,3747,2294
frame_0340.jpg,3535,1891,3769,2300
frame_0341.jpg,3542,1874,3784,2369
frame_0342.jpg,3563,1883,3807,2303
frame_0342.jpg,0,2280,331,2709
frame_0343.jpg,3568,1912,3829,2310
frame_0344.jpg,3565,1926,3836,2338
frame_0345.jpg,3560,1931,3849,2317
frame_0345.jpg,0,2281,331,2710
frame_0346.jpg,3561,1951,3863,2312
frame_0347.jpg,3580,1969,3880,2320
frame_0348.jpg,3580,1972,3890,2325
frame_0349.jpg,3586,1974,3920,2328
frame_0350.jpg,3588,1973,3947,2321
frame_0351.jpg,3598,1971,3965,2321
frame_0352.jpg,3609,1966,3974,2327
frame_0353.jpg,3629,1962,3980,2316
frame_0353.jpg,3753,1135,3825,1321
frame_0354.jpg,3648,1958,3983,2312
frame_0355.jpg,3663,1953,3980,2301
frame_0355.jpg,3754,1134,3825,1318
frame_0356.jpg,3674,1949,3978,2299
frame_0356.jpg,3754,1134,3825,1319
frame_0357.jpg,3684,1939,3965,2296
frame_0358.jpg,3691,1952,3950,2298
frame_0359.jpg,3706,1928,3931,2290
frame_0360.jpg,3699,1922,3915,2311
frame_0361.jpg,3732,1921,3913,2289
frame_0362.jpg,3639,1924,3911,2409
frame_0364.jpg,3649,1927,3904,2405
frame_0367.jpg,3656,1936,3894,2398
frame_0368.jpg,3667,1914,3897,2380
frame_0368.jpg,3768,1911,3896,2277
frame_0369.jpg,3664,1899,3897,2390
frame_0370.jpg,3662,1891,3904,2392
frame_0370.jpg,3768,1894,3903,2283
frame_0371.jpg,3655,1861,3919,2400
frame_0371.jpg,3773,1866,3916,2282
frame_0372.jpg,3639,1857,3933,2412
frame_0372.jpg,3780,1855,3935,2280
frame_0373.jpg,3708,1847,3954,2404
frame_0373.jpg,3753,1136,3827,1325
frame_0374.jpg,3713,1841,3984,2402
frame_0374.jpg,3753,1135,3827,1324
frame_0375.jpg,3712,1858,3997,2357
frame_0376.jpg,3724,1913,4016,2320
frame_0377.jpg,3732,1900,4030,2289
frame_0378.jpg,3727,1907,4060,2321
frame_0378.jpg,3755,1133,3833,1320
frame_0379.jpg,3772,1920,4069,2286
frame_0380.jpg,3741,1917,4069,2291
frame_0381.jpg,3740,1911,4082,2301
frame_0382.jpg,3758,1908,4083,2287
frame_0383.jpg,3751,1908,4085,2284
frame_0384.jpg,3767,1909,4086,2266
frame_0385.jpg,3781,1913,4090,2267
frame_0386.jpg,3772,1910,4082,2279
frame_0387.jpg,3768,1915,4082,2286
frame_0388.jpg,3770,1878,4063,2296
frame_0389.jpg,3783,1851,4046,2269
frame_0389.jpg,1,2287,315,2716
frame_0390.jpg,3790,1844,4018,2277
frame_0391.jpg,3789,1847,4005,2275
frame_0392.jpg,3785,1862,3998,2287
frame_0393.jpg,3795,1868,3992,2272
frame_0394.jpg,3792,1889,3994,2277
frame_0395.jpg,3756,1893,3998,2324
frame_0396.jpg,3779,1900,3999,2289
frame_0397.jpg,3766,1902,4002,2297
frame_0398.jpg,3763,1899,4004,2329
frame_0398.jpg,0,2288,315,2720
frame_0399.jpg,3758,1893,4005,2344
frame_0399.jpg,1,2288,312,2722
frame_0400.jpg,3758,1888,4007,2346
frame_0401.jpg,3760,1875,4013,2357
frame_0402.jpg,3758,1863,4030,2346
frame_0403.jpg,3750,1841,4055,2339
frame_0404.jpg,3798,1834,4082,2310
